Key,Value
PCName,ACER4738Z-PC
DateTime,2018/01/29 16:28:39
UploadFW,None
WriteMAC,None
CheckLAN,None
CheckUSB,None
CheckButtons,PASS
CheckLEDs,PASS
Error,None
TotalJudged,OK
