Key,Value
PCName,ACER4738Z-PC
DateTime,2018/01/29 14:22:22
UploadFW,FAIL
WriteMAC,-
CheckLAN,-
CheckUSB,None
CheckButtons,-
CheckLEDs,-
Error,Request time out.
TotalJudged,NG
