Key,Value
PCName,ACER4738Z-PC
DateTime,2018/01/29 15:13:11
UploadFW,PASS
WriteMAC,FAIL
CheckLAN,None
CheckUSB,None
CheckButtons,None
CheckLEDs,None
Error,Request time out.
TotalJudged,NG
