Key,Value
PCName,ACER4738Z-PC
DateTime,2018/01/29 12:28:59
UploadFW,PASS
WriteMAC,PASS
CheckLAN,PASS
CheckUSB,None
CheckButtons,PASS
CheckLEDs,PASS
Error,None
TotalJudged,OK
