Key,Value
PCName,ACER4738Z-PC
DateTime,2018/02/01 14:28:06
UploadFW,None
WriteMAC,None
CheckLAN,None
CheckUSB,PASS
CheckButtons,PASS
CheckLEDs,PASS
Error,None
TotalJudged,OK
