Key,Value
PCName,ACER4738Z-PC
DateTime,2018/01/29 16:31:05
UploadFW,None
WriteMAC,None
LANPort1,PASS
LANPort2,PASS
LANPort3,PASS
LANPort4,PASS
USB2.0,FAIL
USB3.0,FAIL
WPSButton,FAIL
ResetButton,FAIL
PowerLED,-
PONLED,-
INETLED,-
WLANLED,-
LAN1LED,-
LAN2LED,-
LAN3LED,-
LAN4LED,-
WPSLED,-
LOSLED,-
Error,
TotalJudged,NG
