Key,Value
PCName,ACER4738Z-PC
DateTime,2018/02/01 14:11:08
UploadFW,None
WriteMAC,None
LANPort1,None
LANPort2,None
LANPort3,None
LANPort4,None
USB2.0,-
USB3.0,-
WPSButton,-
ResetButton,-
PowerLED,-
PONLED,-
INETLED,-
WLANLED,-
LAN1LED,-
LAN2LED,-
LAN3LED,-
LAN4LED,-
WPSLED,-
LOSLED,-
Error,Request time out.
TotalJudged,NG
